DISKBSIZE,Disk Block Size VM-12-13-centos,vda,vda1,sr0
DISKBSIZE,T0766,9.6,9.6,0.0
DISKBSIZE,T0767,4.8,4.8,0.0
DISKBSIZE,T0768,8.2,8.2,0.0
DISKBSIZE,T0769,23.0,23.0,0.0
DISKBSIZE,T0770,9.6,9.6,0.0
DISKBSIZE,T0771,38.7,38.7,0.0
DISKBSIZE,T0772,9.2,9.2,0.0
DISKBSIZE,T0773,12.4,12.4,0.0
DISKBSIZE,T0774,9.7,9.7,0.0
DISKBSIZE,T0775,6.9,6.9,0.0
DISKBSIZE,T0776,9.7,9.7,0.0
DISKBSIZE,T0777,5.2,5.2,0.0
DISKBSIZE,T0778,10.1,10.1,0.0
DISKBSIZE,T0779,13.5,13.5,0.0
DISKBSIZE,T0780,9.5,9.5,0.0
DISKBSIZE,T0781,12.4,12.4,0.0
DISKBSIZE,T0782,8.1,8.1,0.0
DISKBSIZE,T0783,17.0,17.0,0.0
DISKBSIZE,T0784,9.7,9.7,0.0
DISKBSIZE,T0785,19.0,19.0,0.0
DISKBSIZE,T0786,9.8,9.8,0.0
DISKBSIZE,T0787,24.0,24.0,0.0
DISKBSIZE,T0788,9.7,9.7,0.0
DISKBSIZE,T0789,6.8,6.8,0.0
DISKBSIZE,T0790,9.7,9.7,0.0
DISKBSIZE,T0791,15.0,15.0,0.0
DISKBSIZE,T0792,7.3,7.3,0.0
DISKBSIZE,T0793,24.0,24.0,0.0
DISKBSIZE,T0794,9.6,9.6,0.0
DISKBSIZE,T0795,28.0,28.0,0.0
DISKBSIZE,T0796,8.3,8.3,0.0
DISKBSIZE,T0797,10.9,10.9,0.0
DISKBSIZE,T0798,9.4,9.5,0.0
DISKBSIZE,T0799,11.3,11.3,0.0
DISKBSIZE,T0800,9.6,9.6,0.0
DISKBSIZE,T0801,12.4,12.4,0.0
DISKBSIZE,T0802,10.2,10.2,0.0
DISKBSIZE,T0803,7.0,7.0,0.0
DISKBSIZE,T0804,6.6,6.6,0.0
DISKBSIZE,T0805,14.3,14.3,0.0
DISKBSIZE,T0806,9.7,9.7,0.0
DISKBSIZE,T0807,21.3,21.3,0.0
DISKBSIZE,T0808,9.6,9.6,0.0
DISKBSIZE,T0809,25.3,25.3,0.0
DISKBSIZE,T0810,8.2,8.2,0.0
DISKBSIZE,T0811,17.3,17.3,0.0
DISKBSIZE,T0812,9.6,9.6,0.0
DISKBSIZE,T0813,18.0,18.0,0.0
DISKBSIZE,T0814,9.8,9.8,0.0
DISKBSIZE,T0815,24.0,24.0,0.0
DISKBSIZE,T0816,6.7,6.7,0.0
DISKBSIZE,T0817,4.4,4.4,0.0
DISKBSIZE,T0818,10.2,10.2,0.0
DISKBSIZE,T0819,8.0,8.0,0.0
DISKBSIZE,T0820,9.9,9.9,0.0
DISKBSIZE,T0821,13.3,13.3,0.0
DISKBSIZE,T0822,10.0,10.0,0.0
DISKBSIZE,T0823,13.6,13.6,0.0
DISKBSIZE,T0824,8.0,8.0,0.0
DISKBSIZE,T0825,12.0,12.0,0.0
DISKBSIZE,T0826,9.7,9.7,0.0
DISKBSIZE,T0827,13.2,13.2,0.0
DISKBSIZE,T0828,6.4,6.4,0.0
DISKBSIZE,T0829,12.4,12.4,0.0
DISKBSIZE,T0830,10.2,10.2,0.0
DISKBSIZE,T0831,6.5,6.5,0.0
DISKBSIZE,T0832,9.4,9.4,0.0
DISKBSIZE,T0833,17.0,17.0,0.0
DISKBSIZE,T0834,10.2,10.2,0.0
DISKBSIZE,T0835,32.0,32.0,0.0
DISKBSIZE,T0836,9.7,9.7,0.0
DISKBSIZE,T0837,20.0,20.0,0.0
DISKBSIZE,T0838,8.0,8.0,0.0
DISKBSIZE,T0839,17.3,17.3,0.0
DISKBSIZE,T0840,7.0,7.0,0.0
DISKBSIZE,T0841,16.0,16.0,0.0
DISKBSIZE,T0842,10.1,10.1,0.0
DISKBSIZE,T0843,12.0,12.0,0.0
DISKBSIZE,T0844,10.4,10.4,0.0
DISKBSIZE,T0845,20.2,25.0,0.0
DISKBSIZE,T0846,11.0,11.0,0.0
DISKBSIZE,T0847,11.7,11.7,0.0
DISKBSIZE,T0848,9.9,9.9,0.0
DISKBSIZE,T0849,12.7,12.7,0.0
DISKBSIZE,T0850,9.7,9.7,0.0
