DISKBSIZE,Disk Block Size VM-12-13-centos,vda,vda1,sr0
DISKBSIZE,T0170,9.7,9.7,0.0
DISKBSIZE,T0171,26.0,26.0,0.0
DISKBSIZE,T0172,9.6,9.6,0.0
DISKBSIZE,T0173,24.0,24.0,0.0
DISKBSIZE,T0174,9.8,10.0,0.0
DISKBSIZE,T0175,6.3,6.3,0.0
DISKBSIZE,T0176,9.4,9.4,0.0
DISKBSIZE,T0177,0.0,0.0,0.0
DISKBSIZE,T0178,9.9,9.9,0.0
DISKBSIZE,T0179,12.4,12.4,0.0
DISKBSIZE,T0180,9.9,9.9,0.0
DISKBSIZE,T0181,5.8,5.8,0.0
DISKBSIZE,T0182,9.1,9.1,0.0
DISKBSIZE,T0183,12.7,12.7,0.0
DISKBSIZE,T0184,9.6,9.6,0.0
DISKBSIZE,T0185,12.4,12.4,0.0
DISKBSIZE,T0186,11.2,11.2,0.0
DISKBSIZE,T0187,15.3,15.3,0.0
DISKBSIZE,T0188,8.5,8.5,0.0
DISKBSIZE,T0189,19.3,19.3,0.0
DISKBSIZE,T0190,10.7,10.7,0.0
DISKBSIZE,T0191,26.0,26.0,0.0
DISKBSIZE,T0192,6.3,6.3,0.0
DISKBSIZE,T0193,11.1,11.1,0.0
DISKBSIZE,T0194,9.7,9.7,0.0
DISKBSIZE,T0195,6.7,6.7,0.0
DISKBSIZE,T0196,28.7,28.7,0.0
DISKBSIZE,T0197,0.0,0.0,0.0
DISKBSIZE,T0198,10.1,10.1,0.0
DISKBSIZE,T0199,12.0,12.0,0.0
DISKBSIZE,T0200,6.7,6.7,0.0
DISKBSIZE,T0201,12.9,12.9,0.0
DISKBSIZE,T0202,9.8,9.8,0.0
DISKBSIZE,T0203,12.0,12.0,0.0
DISKBSIZE,T0204,9.5,9.5,0.0
DISKBSIZE,T0205,12.0,12.0,0.0
DISKBSIZE,T0206,10.0,10.0,0.0
DISKBSIZE,T0207,8.5,8.5,0.0
DISKBSIZE,T0208,9.8,9.8,0.0
DISKBSIZE,T0209,24.0,24.0,0.0
DISKBSIZE,T0210,10.3,10.3,0.0
DISKBSIZE,T0211,5.3,5.3,0.0
DISKBSIZE,T0212,9.7,9.7,0.0
DISKBSIZE,T0213,26.0,26.0,0.0
DISKBSIZE,T0214,8.1,8.1,0.0
DISKBSIZE,T0215,26.0,26.0,0.0
DISKBSIZE,T0216,10.3,10.3,0.0
DISKBSIZE,T0217,24.0,24.0,0.0
DISKBSIZE,T0218,9.6,9.6,0.0
DISKBSIZE,T0219,24.0,24.0,0.0
DISKBSIZE,T0220,7.9,7.9,0.0
DISKBSIZE,T0221,11.4,11.4,0.0
DISKBSIZE,T0222,9.8,9.8,0.0
DISKBSIZE,T0223,13.3,13.3,0.0
DISKBSIZE,T0224,9.9,9.9,0.0
DISKBSIZE,T0225,12.9,12.9,0.0
DISKBSIZE,T0226,9.7,9.7,0.0
DISKBSIZE,T0227,7.5,7.5,0.0
DISKBSIZE,T0228,6.5,6.5,0.0
DISKBSIZE,T0229,12.3,12.3,0.0
DISKBSIZE,T0230,10.0,10.0,0.0
DISKBSIZE,T0231,26.0,26.0,0.0
DISKBSIZE,T0232,9.6,9.6,0.0
DISKBSIZE,T0233,26.0,26.0,0.0
DISKBSIZE,T0234,8.3,8.4,0.0
DISKBSIZE,T0235,14.0,14.0,0.0
DISKBSIZE,T0236,9.7,9.7,0.0
DISKBSIZE,T0237,26.0,26.0,0.0
DISKBSIZE,T0238,9.7,9.7,0.0
DISKBSIZE,T0239,18.7,18.7,0.0
DISKBSIZE,T0240,7.3,7.3,0.0
DISKBSIZE,T0241,8.8,8.8,0.0
DISKBSIZE,T0242,9.0,9.0,0.0
DISKBSIZE,T0243,12.0,12.0,0.0
DISKBSIZE,T0244,10.2,10.2,0.0
DISKBSIZE,T0245,12.9,12.9,0.0
DISKBSIZE,T0246,10.3,10.3,0.0
DISKBSIZE,T0247,10.9,10.9,0.0
DISKBSIZE,T0248,7.9,7.9,0.0
DISKBSIZE,T0249,12.6,12.6,0.0
DISKBSIZE,T0250,6.3,6.3,0.0
DISKBSIZE,T0251,13.8,13.8,0.0
DISKBSIZE,T0252,9.3,9.3,0.0
DISKBSIZE,T0253,30.0,30.0,0.0
DISKBSIZE,T0254,9.8,9.8,0.0
DISKBSIZE,T0255,6.8,6.8,0.0
DISKBSIZE,T0256,9.5,9.5,0.0
DISKBSIZE,T0257,20.0,20.0,0.0
DISKBSIZE,T0258,9.7,9.7,0.0
DISKBSIZE,T0259,5.2,5.2,0.0
DISKBSIZE,T0260,10.1,10.1,0.0
DISKBSIZE,T0261,24.0,24.0,0.0
DISKBSIZE,T0262,9.6,9.6,0.0
DISKBSIZE,T0263,26.0,26.0,0.0
DISKBSIZE,T0264,9.7,9.7,0.0
DISKBSIZE,T0265,28.0,28.0,0.0
DISKBSIZE,T0266,8.4,8.4,0.0
DISKBSIZE,T0267,12.8,12.8,0.0
DISKBSIZE,T0268,9.5,9.5,0.0
DISKBSIZE,T0269,11.2,11.2,0.0
DISKBSIZE,T0270,10.4,10.4,0.0
DISKBSIZE,T0271,13.1,13.1,0.0
DISKBSIZE,T0272,10.2,10.2,0.0
DISKBSIZE,T0273,7.7,7.7,0.0
DISKBSIZE,T0274,9.8,9.8,0.0
DISKBSIZE,T0275,13.1,13.1,0.0
DISKBSIZE,T0276,6.0,6.0,0.0
DISKBSIZE,T0277,26.0,26.0,0.0
DISKBSIZE,T0278,9.7,9.7,0.0
DISKBSIZE,T0279,22.0,22.0,0.0
DISKBSIZE,T0280,8.1,8.1,0.0
DISKBSIZE,T0281,20.0,20.0,0.0
DISKBSIZE,T0282,10.4,10.4,0.0
DISKBSIZE,T0283,24.0,24.0,0.0
DISKBSIZE,T0284,9.7,9.7,0.0
DISKBSIZE,T0285,24.0,24.0,0.0
DISKBSIZE,T0286,10.1,10.1,0.0
DISKBSIZE,T0287,4.9,4.9,0.0
DISKBSIZE,T0288,6.7,6.7,0.0
DISKBSIZE,T0289,13.3,13.3,0.0
DISKBSIZE,T0290,9.9,9.9,0.0
DISKBSIZE,T0291,12.4,12.4,0.0
DISKBSIZE,T0292,9.6,9.6,0.0
DISKBSIZE,T0293,8.1,8.1,0.0
DISKBSIZE,T0294,7.0,7.0,0.0
DISKBSIZE,T0295,12.4,12.4,0.0
DISKBSIZE,T0296,9.7,9.7,0.0
DISKBSIZE,T0297,7.9,7.9,0.0
DISKBSIZE,T0298,9.7,9.7,0.0
DISKBSIZE,T0299,24.0,24.0,0.0
DISKBSIZE,T0300,8.3,8.3,0.0
DISKBSIZE,T0301,24.0,24.0,0.0
DISKBSIZE,T0302,9.8,9.8,0.0
DISKBSIZE,T0303,26.0,26.0,0.0
DISKBSIZE,T0304,9.9,9.9,0.0
DISKBSIZE,T0305,24.0,24.0,0.0
DISKBSIZE,T0306,8.5,8.5,0.0
DISKBSIZE,T0307,12.7,12.7,0.0
DISKBSIZE,T0308,9.7,9.7,0.0
DISKBSIZE,T0309,0.0,0.0,0.0
DISKBSIZE,T0310,9.8,9.8,0.0
DISKBSIZE,T0311,11.6,11.6,0.0
DISKBSIZE,T0312,9.4,9.4,0.0
DISKBSIZE,T0313,5.1,5.1,0.0
DISKBSIZE,T0314,10.3,10.3,0.0
DISKBSIZE,T0315,12.7,12.7,0.0
DISKBSIZE,T0316,9.7,9.7,0.0
DISKBSIZE,T0317,12.4,12.4,0.0
DISKBSIZE,T0318,8.2,8.2,0.0
DISKBSIZE,T0319,12.4,12.4,0.0
DISKBSIZE,T0320,9.6,9.6,0.0
DISKBSIZE,T0321,26.0,26.0,0.0
DISKBSIZE,T0322,9.6,9.6,0.0
DISKBSIZE,T0323,24.0,24.0,0.0
DISKBSIZE,T0324,7.3,7.3,0.0
DISKBSIZE,T0325,8.7,8.7,0.0
DISKBSIZE,T0326,9.9,9.9,0.0
DISKBSIZE,T0327,24.0,24.0,0.0
DISKBSIZE,T0328,9.6,9.6,0.0
DISKBSIZE,T0329,24.0,24.0,0.0
DISKBSIZE,T0330,10.2,10.2,0.0
DISKBSIZE,T0331,4.4,4.4,0.0
DISKBSIZE,T0332,8.0,8.0,0.0
DISKBSIZE,T0333,12.9,12.9,0.0
DISKBSIZE,T0334,9.9,9.9,0.0
DISKBSIZE,T0335,12.0,12.0,0.0
DISKBSIZE,T0336,9.8,9.8,0.0
DISKBSIZE,T0337,13.8,13.8,0.0
DISKBSIZE,T0338,9.6,9.6,0.0
DISKBSIZE,T0339,8.0,8.0,0.0
DISKBSIZE,T0340,9.8,9.8,0.0
DISKBSIZE,T0341,12.4,12.4,0.0
DISKBSIZE,T0342,10.1,10.1,0.0
DISKBSIZE,T0343,5.5,5.5,0.0
DISKBSIZE,T0344,9.4,9.4,0.0
DISKBSIZE,T0345,26.0,26.0,0.0
DISKBSIZE,T0346,9.6,9.6,0.0
DISKBSIZE,T0347,7.7,7.7,0.0
DISKBSIZE,T0348,9.8,9.8,0.0
DISKBSIZE,T0349,24.0,24.0,0.0
DISKBSIZE,T0350,9.6,9.6,0.0
DISKBSIZE,T0351,24.0,24.0,0.0
DISKBSIZE,T0352,9.6,9.6,0.0
DISKBSIZE,T0353,5.2,5.2,0.0
DISKBSIZE,T0354,9.7,9.7,0.0
DISKBSIZE,T0355,13.1,13.1,0.0
DISKBSIZE,T0356,9.7,9.7,0.0
DISKBSIZE,T0357,12.4,12.4,0.0
DISKBSIZE,T0358,9.8,9.8,0.0
DISKBSIZE,T0359,12.4,12.4,0.0
DISKBSIZE,T0360,6.3,6.3,0.0
DISKBSIZE,T0361,11.5,11.5,0.0
DISKBSIZE,T0362,9.5,9.5,0.0
DISKBSIZE,T0363,12.7,12.7,0.0
DISKBSIZE,T0364,9.6,9.6,0.0
DISKBSIZE,T0365,24.0,24.0,0.0
DISKBSIZE,T0366,9.6,9.8,0.0
DISKBSIZE,T0367,6.8,6.8,0.0
DISKBSIZE,T0368,10.0,10.0,0.0
DISKBSIZE,T0369,18.0,18.0,0.0
DISKBSIZE,T0370,9.6,9.6,0.0
DISKBSIZE,T0371,24.0,24.0,0.0
DISKBSIZE,T0372,7.2,7.2,0.0
DISKBSIZE,T0373,44.0,44.0,0.0
DISKBSIZE,T0374,8.1,8.1,0.0
DISKBSIZE,T0375,10.3,10.3,0.0
DISKBSIZE,T0376,10.0,10.0,0.0
DISKBSIZE,T0377,12.0,12.0,0.0
DISKBSIZE,T0378,10.0,10.0,0.0
DISKBSIZE,T0379,12.4,12.4,0.0
DISKBSIZE,T0380,9.8,9.8,0.0
DISKBSIZE,T0381,8.0,8.0,0.0
DISKBSIZE,T0382,9.5,9.5,0.0
DISKBSIZE,T0383,13.3,13.3,0.0
DISKBSIZE,T0384,6.4,6.4,0.0
DISKBSIZE,T0385,32.0,32.0,0.0
DISKBSIZE,T0386,9.6,9.6,0.0
DISKBSIZE,T0387,26.0,26.0,0.0
DISKBSIZE,T0388,8.3,8.3,0.0
DISKBSIZE,T0389,16.8,16.8,0.0
DISKBSIZE,T0390,10.5,10.5,0.0
DISKBSIZE,T0391,4.7,4.7,0.0
DISKBSIZE,T0392,10.1,10.1,0.0
DISKBSIZE,T0393,26.0,26.0,0.0
DISKBSIZE,T0394,9.6,9.6,0.0
DISKBSIZE,T0395,26.0,26.0,0.0
DISKBSIZE,T0396,9.0,9.0,0.0
DISKBSIZE,T0397,13.6,13.6,0.0
DISKBSIZE,T0398,8.1,8.1,0.0
DISKBSIZE,T0399,11.7,11.7,0.0
DISKBSIZE,T0400,10.1,10.1,0.0
DISKBSIZE,T0401,12.4,12.4,0.0
DISKBSIZE,T0402,6.7,6.7,0.0
DISKBSIZE,T0403,12.9,12.9,0.0
DISKBSIZE,T0404,9.5,9.5,0.0
DISKBSIZE,T0405,12.7,12.7,0.0
DISKBSIZE,T0406,9.6,9.6,0.0
DISKBSIZE,T0407,24.0,24.0,0.0
DISKBSIZE,T0408,10.2,10.2,0.0
DISKBSIZE,T0409,6.9,6.9,0.0
DISKBSIZE,T0410,9.6,9.6,0.0
DISKBSIZE,T0411,26.0,26.0,0.0
DISKBSIZE,T0412,9.7,9.7,0.0
DISKBSIZE,T0413,17.3,17.3,0.0
DISKBSIZE,T0414,9.8,9.8,0.0
DISKBSIZE,T0415,5.2,5.2,0.0
DISKBSIZE,T0416,10.2,10.2,0.0
DISKBSIZE,T0417,24.0,24.0,0.0
DISKBSIZE,T0418,9.1,9.1,0.0
DISKBSIZE,T0419,12.0,12.0,0.0
DISKBSIZE,T0420,9.8,9.8,0.0
DISKBSIZE,T0421,12.4,12.4,0.0
DISKBSIZE,T0422,7.1,7.1,0.0
DISKBSIZE,T0423,12.9,12.9,0.0
DISKBSIZE,T0424,9.7,9.7,0.0
DISKBSIZE,T0425,12.4,12.4,0.0
DISKBSIZE,T0426,10.0,10.2,0.0
DISKBSIZE,T0427,12.4,12.4,0.0
DISKBSIZE,T0428,10.3,10.3,0.0
DISKBSIZE,T0429,7.3,7.3,0.0
DISKBSIZE,T0430,9.6,9.6,0.0
DISKBSIZE,T0431,24.0,24.0,0.0
DISKBSIZE,T0432,7.0,7.0,0.0
DISKBSIZE,T0433,24.0,24.0,0.0
DISKBSIZE,T0434,9.8,9.8,0.0
DISKBSIZE,T0435,26.0,26.0,0.0
DISKBSIZE,T0436,9.6,9.6,0.0
DISKBSIZE,T0437,7.2,7.2,0.0
DISKBSIZE,T0438,9.6,9.6,0.0
DISKBSIZE,T0439,24.0,24.0,0.0
DISKBSIZE,T0440,9.7,9.7,0.0
DISKBSIZE,T0441,0.0,0.0,0.0
DISKBSIZE,T0442,9.9,9.9,0.0
DISKBSIZE,T0443,14.4,14.4,0.0
DISKBSIZE,T0444,6.5,6.5,0.0
DISKBSIZE,T0445,12.8,12.8,0.0
DISKBSIZE,T0446,9.6,9.6,0.0
DISKBSIZE,T0447,12.7,12.7,0.0
DISKBSIZE,T0448,9.7,9.7,0.0
DISKBSIZE,T0449,13.5,13.5,0.0
DISKBSIZE,T0450,9.8,9.8,0.0
DISKBSIZE,T0451,7.4,7.4,0.0
DISKBSIZE,T0452,9.5,9.5,0.0
DISKBSIZE,T0453,22.7,22.7,0.0
DISKBSIZE,T0454,12.5,12.5,0.0
DISKBSIZE,T0455,18.0,18.0,0.0
DISKBSIZE,T0456,5.9,5.9,0.0
DISKBSIZE,T0457,21.3,21.3,0.0
DISKBSIZE,T0458,7.7,7.7,0.0
DISKBSIZE,T0459,22.7,22.7,0.0
DISKBSIZE,T0460,9.6,9.6,0.0
DISKBSIZE,T0461,22.7,22.7,0.0
DISKBSIZE,T0462,9.6,9.6,0.0
DISKBSIZE,T0463,28.0,28.0,0.0
DISKBSIZE,T0464,10.0,10.0,0.0
DISKBSIZE,T0465,6.3,6.3,0.0
DISKBSIZE,T0466,9.8,9.8,0.0
DISKBSIZE,T0467,12.4,12.4,0.0
DISKBSIZE,T0468,6.7,6.7,0.0
DISKBSIZE,T0469,13.8,13.8,0.0
DISKBSIZE,T0470,10.2,10.2,0.0
DISKBSIZE,T0471,12.7,12.7,0.0
DISKBSIZE,T0472,7.8,7.8,0.0
DISKBSIZE,T0473,12.9,12.9,0.0
DISKBSIZE,T0474,9.9,9.9,0.0
DISKBSIZE,T0475,16.0,16.0,0.0
DISKBSIZE,T0476,9.6,9.6,0.0
DISKBSIZE,T0477,28.0,28.0,0.0
DISKBSIZE,T0478,9.8,9.8,0.0
DISKBSIZE,T0479,6.3,6.3,0.0
DISKBSIZE,T0480,7.2,7.2,0.0
DISKBSIZE,T0481,24.0,24.0,0.0
DISKBSIZE,T0482,9.6,9.6,0.0
DISKBSIZE,T0483,24.0,24.0,0.0
DISKBSIZE,T0484,10.1,10.1,0.0
DISKBSIZE,T0485,0.0,0.0,0.0
DISKBSIZE,T0486,7.9,8.1,0.0
DISKBSIZE,T0487,10.9,10.9,0.0
DISKBSIZE,T0488,9.9,9.9,0.0
DISKBSIZE,T0489,12.4,12.4,0.0
DISKBSIZE,T0490,9.9,9.9,0.0
DISKBSIZE,T0491,12.0,12.0,0.0
DISKBSIZE,T0492,7.0,7.0,0.0
DISKBSIZE,T0493,7.9,7.9,0.0
DISKBSIZE,T0494,9.8,9.8,0.0
DISKBSIZE,T0495,12.7,12.7,0.0
DISKBSIZE,T0496,9.4,9.4,0.0
DISKBSIZE,T0497,25.3,25.3,0.0
DISKBSIZE,T0498,9.6,9.6,0.0
DISKBSIZE,T0499,17.3,17.3,0.0
DISKBSIZE,T0500,8.1,8.1,0.0
DISKBSIZE,T0501,19.0,19.0,0.0
DISKBSIZE,T0502,9.7,9.7,0.0
DISKBSIZE,T0503,24.0,24.0,0.0
DISKBSIZE,T0504,7.3,7.3,0.0
DISKBSIZE,T0505,24.0,24.0,0.0
DISKBSIZE,T0506,9.6,9.6,0.0
DISKBSIZE,T0507,4.2,4.2,0.0
DISKBSIZE,T0508,10.0,10.0,0.0
DISKBSIZE,T0509,13.3,13.3,0.0
DISKBSIZE,T0510,10.5,10.5,0.0
DISKBSIZE,T0511,12.7,12.7,0.0
DISKBSIZE,T0512,9.7,9.7,0.0
DISKBSIZE,T0513,12.0,12.0,0.0
DISKBSIZE,T0514,7.8,7.8,0.0
DISKBSIZE,T0515,12.9,12.9,0.0
DISKBSIZE,T0516,5.9,5.9,0.0
DISKBSIZE,T0517,13.8,13.8,0.0
DISKBSIZE,T0518,10.1,10.1,0.0
DISKBSIZE,T0519,12.0,12.0,0.0
DISKBSIZE,T0520,9.5,9.5,0.0
DISKBSIZE,T0521,6.5,6.5,0.0
DISKBSIZE,T0522,9.9,9.9,0.0
DISKBSIZE,T0523,26.0,26.0,0.0
DISKBSIZE,T0524,9.6,9.6,0.0
DISKBSIZE,T0525,26.0,26.0,0.0
DISKBSIZE,T0526,9.7,9.7,0.0
DISKBSIZE,T0527,25.3,25.3,0.0
DISKBSIZE,T0528,6.8,6.8,0.0
DISKBSIZE,T0529,17.3,17.3,0.0
DISKBSIZE,T0530,9.6,9.6,0.0
DISKBSIZE,T0531,24.0,24.0,0.0
DISKBSIZE,T0532,9.2,9.2,0.0
DISKBSIZE,T0533,12.4,12.4,0.0
DISKBSIZE,T0534,10.6,10.6,0.0
DISKBSIZE,T0535,6.4,6.4,0.0
DISKBSIZE,T0536,9.8,9.8,0.0
DISKBSIZE,T0537,12.4,12.4,0.0
DISKBSIZE,T0538,9.6,9.6,0.0
DISKBSIZE,T0539,12.4,12.4,0.0
DISKBSIZE,T0540,6.6,6.6,0.0
DISKBSIZE,T0541,16.0,16.0,0.0
DISKBSIZE,T0542,8.0,8.0,0.0
DISKBSIZE,T0543,19.0,19.0,0.0
DISKBSIZE,T0544,9.6,9.6,0.0
DISKBSIZE,T0545,24.0,24.0,0.0
DISKBSIZE,T0546,9.6,9.7,0.0
DISKBSIZE,T0547,24.0,24.0,0.0
DISKBSIZE,T0548,10.2,10.2,0.0
DISKBSIZE,T0549,6.4,6.4,0.0
DISKBSIZE,T0550,9.7,9.7,0.0
DISKBSIZE,T0551,26.0,26.0,0.0
DISKBSIZE,T0552,6.7,6.7,0.0
DISKBSIZE,T0553,12.8,12.8,0.0
DISKBSIZE,T0554,10.1,10.1,0.0
DISKBSIZE,T0555,14.4,14.4,0.0
DISKBSIZE,T0556,8.2,8.2,0.0
DISKBSIZE,T0557,14.4,14.4,0.0
DISKBSIZE,T0558,10.0,10.0,0.0
DISKBSIZE,T0559,5.3,5.3,0.0
DISKBSIZE,T0560,10.4,10.4,0.0
DISKBSIZE,T0561,12.7,12.7,0.0
DISKBSIZE,T0562,10.2,10.2,0.0
DISKBSIZE,T0563,6.5,6.5,0.0
DISKBSIZE,T0564,9.6,9.6,0.0
DISKBSIZE,T0565,24.0,24.0,0.0
DISKBSIZE,T0566,9.6,9.6,0.0
DISKBSIZE,T0567,26.0,26.0,0.0
DISKBSIZE,T0568,9.7,9.7,0.0
DISKBSIZE,T0569,25.3,25.3,0.0
DISKBSIZE,T0570,8.4,8.4,0.0
DISKBSIZE,T0571,18.0,18.0,0.0
DISKBSIZE,T0572,9.6,9.6,0.0
DISKBSIZE,T0573,24.0,24.0,0.0
DISKBSIZE,T0574,9.1,9.1,0.0
DISKBSIZE,T0575,12.4,12.4,0.0
DISKBSIZE,T0576,6.4,6.4,0.0
DISKBSIZE,T0577,7.5,7.5,0.0
DISKBSIZE,T0578,9.8,9.8,0.0
DISKBSIZE,T0579,12.4,12.4,0.0
DISKBSIZE,T0580,9.6,9.6,0.0
DISKBSIZE,T0581,12.4,12.4,0.0
DISKBSIZE,T0582,9.6,9.6,0.0
DISKBSIZE,T0583,12.6,12.6,0.0
DISKBSIZE,T0584,8.1,8.1,0.0
DISKBSIZE,T0585,20.0,20.0,0.0
DISKBSIZE,T0586,9.7,9.7,0.0
DISKBSIZE,T0587,24.0,24.0,0.0
DISKBSIZE,T0588,6.8,6.8,0.0
DISKBSIZE,T0589,32.0,32.0,0.0
DISKBSIZE,T0590,10.3,10.3,0.0
DISKBSIZE,T0591,6.1,6.1,0.0
DISKBSIZE,T0592,9.7,9.7,0.0
DISKBSIZE,T0593,24.0,24.0,0.0
DISKBSIZE,T0594,9.6,9.6,0.0
DISKBSIZE,T0595,24.0,24.0,0.0
DISKBSIZE,T0596,9.2,9.2,0.0
DISKBSIZE,T0597,14.4,14.4,0.0
DISKBSIZE,T0598,8.4,8.4,0.0
DISKBSIZE,T0599,13.2,13.2,0.0
DISKBSIZE,T0600,6.7,6.7,0.0
DISKBSIZE,T0601,12.4,12.4,0.0
DISKBSIZE,T0602,9.7,9.7,0.0
DISKBSIZE,T0603,14.2,14.2,0.0
DISKBSIZE,T0604,10.1,10.1,0.0
DISKBSIZE,T0605,7.9,7.9,0.0
DISKBSIZE,T0606,7.4,7.4,0.0
DISKBSIZE,T0607,13.8,13.8,0.0
DISKBSIZE,T0608,9.5,9.5,0.0
DISKBSIZE,T0609,12.8,12.8,0.0
DISKBSIZE,T0610,9.7,9.7,0.0
DISKBSIZE,T0611,26.7,26.7,0.0
DISKBSIZE,T0612,7.9,7.9,0.0
DISKBSIZE,T0613,28.0,28.0,0.0
DISKBSIZE,T0614,9.7,9.7,0.0
DISKBSIZE,T0615,24.0,24.0,0.0
DISKBSIZE,T0616,9.6,9.6,0.0
DISKBSIZE,T0617,24.0,24.0,0.0
DISKBSIZE,T0618,10.0,10.0,0.0
DISKBSIZE,T0619,4.5,4.5,0.0
DISKBSIZE,T0620,10.0,10.0,0.0
DISKBSIZE,T0621,12.9,12.9,0.0
DISKBSIZE,T0622,9.9,9.9,0.0
DISKBSIZE,T0623,12.4,12.4,0.0
DISKBSIZE,T0624,6.6,6.6,0.0
DISKBSIZE,T0625,14.0,14.0,0.0
DISKBSIZE,T0626,8.3,8.3,0.0
DISKBSIZE,T0627,13.2,13.2,0.0
DISKBSIZE,T0628,9.7,9.7,0.0
DISKBSIZE,T0629,12.4,12.4,0.0
DISKBSIZE,T0630,9.5,9.5,0.0
DISKBSIZE,T0631,4.8,4.8,0.0
DISKBSIZE,T0632,10.1,10.1,0.0
DISKBSIZE,T0633,28.0,28.0,0.0
DISKBSIZE,T0634,9.9,9.9,0.0
DISKBSIZE,T0635,24.0,24.0,0.0
DISKBSIZE,T0636,8.6,8.6,0.0
DISKBSIZE,T0637,26.0,26.0,0.0
DISKBSIZE,T0638,9.6,9.6,0.0
DISKBSIZE,T0639,24.0,24.0,0.0
