JFSFILE,JFS Filespace %Used VM-12-13-centos,/dev,/run,/
JFSFILE,T0304,0.0,0.0,9.6
JFSFILE,T0305,0.0,0.0,9.6
JFSFILE,T0306,0.0,0.0,9.6
JFSFILE,T0307,0.0,0.0,9.6
JFSFILE,T0308,0.0,0.0,9.6
JFSFILE,T0309,0.0,0.0,9.6
JFSFILE,T0310,0.0,0.0,9.6
JFSFILE,T0311,0.0,0.0,9.6
JFSFILE,T0312,0.0,0.0,9.6
JFSFILE,T0313,0.0,0.0,9.6
JFSFILE,T0314,0.0,0.0,9.6
JFSFILE,T0315,0.0,0.0,9.6
JFSFILE,T0316,0.0,0.0,9.6
JFSFILE,T0317,0.0,0.0,9.6
JFSFILE,T0318,0.0,0.0,9.6
JFSFILE,T0319,0.0,0.0,9.6
JFSFILE,T0320,0.0,0.0,9.6
JFSFILE,T0321,0.0,0.0,9.6
JFSFILE,T0322,0.0,0.0,9.6
JFSFILE,T0323,0.0,0.0,9.6
JFSFILE,T0324,0.0,0.0,9.6
JFSFILE,T0325,0.0,0.0,9.6
JFSFILE,T0326,0.0,0.0,9.6
JFSFILE,T0327,0.0,0.0,9.6
JFSFILE,T0328,0.0,0.0,9.6
JFSFILE,T0329,0.0,0.0,9.6
JFSFILE,T0330,0.0,0.0,9.6
JFSFILE,T0331,0.0,0.0,9.6
JFSFILE,T0332,0.0,0.0,9.6
JFSFILE,T0333,0.0,0.0,9.6
JFSFILE,T0334,0.0,0.0,9.6
JFSFILE,T0335,0.0,0.0,9.6
JFSFILE,T0336,0.0,0.0,9.6
JFSFILE,T0337,0.0,0.0,9.6
JFSFILE,T0338,0.0,0.0,9.6
JFSFILE,T0339,0.0,0.0,9.6
JFSFILE,T0340,0.0,0.0,9.6
JFSFILE,T0341,0.0,0.0,9.6
JFSFILE,T0342,0.0,0.0,9.6
JFSFILE,T0343,0.0,0.0,9.6
JFSFILE,T0344,0.0,0.0,9.6
JFSFILE,T0345,0.0,0.0,9.6
JFSFILE,T0346,0.0,0.0,9.6
JFSFILE,T0347,0.0,0.0,9.6
JFSFILE,T0348,0.0,0.0,9.6
JFSFILE,T0349,0.0,0.0,9.6
JFSFILE,T0350,0.0,0.0,9.6
JFSFILE,T0351,0.0,0.0,9.6
JFSFILE,T0352,0.0,0.0,9.6
JFSFILE,T0353,0.0,0.0,9.6
JFSFILE,T0354,0.0,0.0,9.6
JFSFILE,T0355,0.0,0.0,9.6
JFSFILE,T0356,0.0,0.0,9.6
JFSFILE,T0357,0.0,0.0,9.6
JFSFILE,T0358,0.0,0.0,9.6
JFSFILE,T0359,0.0,0.0,9.6
JFSFILE,T0360,0.0,0.0,9.6
JFSFILE,T0361,0.0,0.0,9.6
JFSFILE,T0362,0.0,0.0,9.6
JFSFILE,T0363,0.0,0.0,9.6
JFSFILE,T0364,0.0,0.0,9.6
JFSFILE,T0365,0.0,0.0,9.6
JFSFILE,T0366,0.0,0.0,9.6
JFSFILE,T0367,0.0,0.0,9.6
JFSFILE,T0368,0.0,0.0,9.6
JFSFILE,T0369,0.0,0.0,9.6
JFSFILE,T0370,0.0,0.0,9.6
JFSFILE,T0371,0.0,0.0,9.6
JFSFILE,T0372,0.0,0.0,9.6
JFSFILE,T0373,0.0,0.0,9.6
JFSFILE,T0374,0.0,0.0,9.6
JFSFILE,T0375,0.0,0.0,9.6
JFSFILE,T0376,0.0,0.0,9.6
JFSFILE,T0377,0.0,0.0,9.6
JFSFILE,T0378,0.0,0.0,9.6
JFSFILE,T0379,0.0,0.0,9.6
JFSFILE,T0380,0.0,0.0,9.6
JFSFILE,T0381,0.0,0.0,9.6
JFSFILE,T0382,0.0,0.0,9.6
JFSFILE,T0383,0.0,0.0,9.6
JFSFILE,T0384,0.0,0.0,9.6
JFSFILE,T0385,0.0,0.0,9.6
JFSFILE,T0386,0.0,0.0,9.6
JFSFILE,T0387,0.0,0.0,9.6
JFSFILE,T0388,0.0,0.0,9.6
JFSFILE,T0389,0.0,0.0,9.6
JFSFILE,T0390,0.0,0.0,9.6
JFSFILE,T0391,0.0,0.0,9.6
JFSFILE,T0392,0.0,0.0,9.6
JFSFILE,T0393,0.0,0.0,9.6
JFSFILE,T0394,0.0,0.0,9.6
JFSFILE,T0395,0.0,0.0,9.6
JFSFILE,T0396,0.0,0.0,9.6
JFSFILE,T0397,0.0,0.0,9.6
JFSFILE,T0398,0.0,0.0,9.6
JFSFILE,T0399,0.0,0.0,9.6
JFSFILE,T0400,0.0,0.0,9.6
JFSFILE,T0401,0.0,0.0,9.6
JFSFILE,T0402,0.0,0.0,9.6
JFSFILE,T0403,0.0,0.0,9.6
JFSFILE,T0404,0.0,0.0,9.6
JFSFILE,T0405,0.0,0.0,9.6
JFSFILE,T0406,0.0,0.0,9.6
JFSFILE,T0407,0.0,0.0,9.6
JFSFILE,T0408,0.0,0.0,9.6
JFSFILE,T0409,0.0,0.0,9.6
JFSFILE,T0410,0.0,0.0,9.6
JFSFILE,T0411,0.0,0.0,9.6
JFSFILE,T0412,0.0,0.0,9.6
JFSFILE,T0413,0.0,0.0,9.6
JFSFILE,T0414,0.0,0.0,9.6
JFSFILE,T0415,0.0,0.0,9.6
JFSFILE,T0416,0.0,0.0,9.6
JFSFILE,T0417,0.0,0.0,9.6
JFSFILE,T0418,0.0,0.0,9.6
JFSFILE,T0419,0.0,0.0,9.6
JFSFILE,T0420,0.0,0.0,9.6
JFSFILE,T0421,0.0,0.0,9.6
JFSFILE,T0422,0.0,0.0,9.6
JFSFILE,T0423,0.0,0.0,9.6
JFSFILE,T0424,0.0,0.0,9.6
JFSFILE,T0425,0.0,0.0,9.6
JFSFILE,T0426,0.0,0.0,9.6
JFSFILE,T0427,0.0,0.0,9.6
JFSFILE,T0428,0.0,0.0,9.6
JFSFILE,T0429,0.0,0.0,9.6
JFSFILE,T0430,0.0,0.0,9.6
JFSFILE,T0431,0.0,0.0,9.6
JFSFILE,T0432,0.0,0.0,9.6
JFSFILE,T0433,0.0,0.0,9.6
JFSFILE,T0434,0.0,0.0,9.6
JFSFILE,T0435,0.0,0.0,9.6
JFSFILE,T0436,0.0,0.0,9.6
JFSFILE,T0437,0.0,0.0,9.6
JFSFILE,T0438,0.0,0.0,9.6
JFSFILE,T0439,0.0,0.0,9.6
JFSFILE,T0440,0.0,0.0,9.6
JFSFILE,T0441,0.0,0.0,9.6
JFSFILE,T0442,0.0,0.0,9.6
JFSFILE,T0443,0.0,0.0,9.6
JFSFILE,T0444,0.0,0.0,9.6
JFSFILE,T0445,0.0,0.0,9.6
JFSFILE,T0446,0.0,0.0,9.6
JFSFILE,T0447,0.0,0.0,9.6
JFSFILE,T0448,0.0,0.0,9.6
JFSFILE,T0449,0.0,0.0,9.6
JFSFILE,T0450,0.0,0.0,9.6
JFSFILE,T0451,0.0,0.0,9.6
JFSFILE,T0452,0.0,0.0,9.6
JFSFILE,T0453,0.0,0.0,9.6
JFSFILE,T0454,0.0,0.0,9.6
JFSFILE,T0455,0.0,0.0,9.6
JFSFILE,T0456,0.0,0.0,9.6
JFSFILE,T0457,0.0,0.0,9.6
JFSFILE,T0458,0.0,0.0,9.6
JFSFILE,T0459,0.0,0.0,9.6
JFSFILE,T0460,0.0,0.0,9.6
JFSFILE,T0461,0.0,0.0,9.6
JFSFILE,T0462,0.0,0.0,9.6
JFSFILE,T0463,0.0,0.0,9.6
JFSFILE,T0464,0.0,0.0,9.6
JFSFILE,T0465,0.0,0.0,9.6
JFSFILE,T0466,0.0,0.0,9.6
JFSFILE,T0467,0.0,0.0,9.6
JFSFILE,T0468,0.0,0.0,9.6
JFSFILE,T0469,0.0,0.0,9.6
JFSFILE,T0470,0.0,0.0,9.6
JFSFILE,T0471,0.0,0.0,9.6
JFSFILE,T0472,0.0,0.0,9.6
JFSFILE,T0473,0.0,0.0,9.6
JFSFILE,T0474,0.0,0.0,9.6
JFSFILE,T0475,0.0,0.0,9.6
JFSFILE,T0476,0.0,0.0,9.6
JFSFILE,T0477,0.0,0.0,9.6
JFSFILE,T0478,0.0,0.0,9.6
JFSFILE,T0479,0.0,0.0,9.6
JFSFILE,T0480,0.0,0.0,9.6
JFSFILE,T0481,0.0,0.0,9.6
JFSFILE,T0482,0.0,0.0,9.6
JFSFILE,T0483,0.0,0.0,9.6
JFSFILE,T0484,0.0,0.0,9.6
JFSFILE,T0485,0.0,0.0,9.6
JFSFILE,T0486,0.0,0.0,9.6
JFSFILE,T0487,0.0,0.0,9.6
JFSFILE,T0488,0.0,0.0,9.6
JFSFILE,T0489,0.0,0.0,9.6
JFSFILE,T0490,0.0,0.0,9.6
JFSFILE,T0491,0.0,0.0,9.6
JFSFILE,T0492,0.0,0.0,9.6
JFSFILE,T0493,0.0,0.0,9.6
JFSFILE,T0494,0.0,0.0,9.6
JFSFILE,T0495,0.0,0.0,9.6
JFSFILE,T0496,0.0,0.0,9.6
JFSFILE,T0497,0.0,0.0,9.6
JFSFILE,T0498,0.0,0.0,9.6
JFSFILE,T0499,0.0,0.0,9.6
JFSFILE,T0500,0.0,0.0,9.6
JFSFILE,T0501,0.0,0.0,9.6
JFSFILE,T0502,0.0,0.0,9.6
JFSFILE,T0503,0.0,0.0,9.6
JFSFILE,T0504,0.0,0.0,9.6
JFSFILE,T0505,0.0,0.0,9.6
JFSFILE,T0506,0.0,0.0,9.6
JFSFILE,T0507,0.0,0.0,9.6
JFSFILE,T0508,0.0,0.0,9.6
JFSFILE,T0509,0.0,0.0,9.6
JFSFILE,T0510,0.0,0.0,9.6
JFSFILE,T0511,0.0,0.0,9.6
JFSFILE,T0512,0.0,0.0,9.6
JFSFILE,T0513,0.0,0.0,9.6
JFSFILE,T0514,0.0,0.0,9.6
JFSFILE,T0515,0.0,0.0,9.6
JFSFILE,T0516,0.0,0.0,9.6
JFSFILE,T0517,0.0,0.0,9.6
JFSFILE,T0518,0.0,0.0,9.6
JFSFILE,T0519,0.0,0.0,9.6
JFSFILE,T0520,0.0,0.0,9.6
JFSFILE,T0521,0.0,0.0,9.6
JFSFILE,T0522,0.0,0.0,9.6
JFSFILE,T0523,0.0,0.0,9.6
JFSFILE,T0524,0.0,0.0,9.6
JFSFILE,T0525,0.0,0.0,9.6
JFSFILE,T0526,0.0,0.0,9.6
JFSFILE,T0527,0.0,0.0,9.6
JFSFILE,T0528,0.0,0.0,9.6
JFSFILE,T0529,0.0,0.0,9.6
JFSFILE,T0530,0.0,0.0,9.6
JFSFILE,T0531,0.0,0.0,9.6
JFSFILE,T0532,0.0,0.0,9.6
JFSFILE,T0533,0.0,0.0,9.6
JFSFILE,T0534,0.0,0.0,9.6
JFSFILE,T0535,0.0,0.0,9.6
JFSFILE,T0536,0.0,0.0,9.6
JFSFILE,T0537,0.0,0.0,9.6
JFSFILE,T0538,0.0,0.0,9.6
JFSFILE,T0539,0.0,0.0,9.6
JFSFILE,T0540,0.0,0.0,9.6
JFSFILE,T0541,0.0,0.0,9.6
JFSFILE,T0542,0.0,0.0,9.6
JFSFILE,T0543,0.0,0.0,9.6
JFSFILE,T0544,0.0,0.0,9.6
JFSFILE,T0545,0.0,0.0,9.6
JFSFILE,T0546,0.0,0.0,9.6
JFSFILE,T0547,0.0,0.0,9.6
JFSFILE,T0548,0.0,0.0,9.6
JFSFILE,T0549,0.0,0.0,9.6
JFSFILE,T0550,0.0,0.0,9.6
JFSFILE,T0551,0.0,0.0,9.6
JFSFILE,T0552,0.0,0.0,9.6
JFSFILE,T0553,0.0,0.0,9.6
JFSFILE,T0554,0.0,0.0,9.6
JFSFILE,T0555,0.0,0.0,9.6
JFSFILE,T0556,0.0,0.0,9.6
JFSFILE,T0557,0.0,0.0,9.6
JFSFILE,T0558,0.0,0.0,9.6
JFSFILE,T0559,0.0,0.0,9.6
JFSFILE,T0560,0.0,0.0,9.6
JFSFILE,T0561,0.0,0.0,9.6
JFSFILE,T0562,0.0,0.0,9.6
JFSFILE,T0563,0.0,0.0,9.6
JFSFILE,T0564,0.0,0.0,9.6
JFSFILE,T0565,0.0,0.0,9.6
JFSFILE,T0566,0.0,0.0,9.6
JFSFILE,T0567,0.0,0.0,9.6
JFSFILE,T0568,0.0,0.0,9.6
JFSFILE,T0569,0.0,0.0,9.6
JFSFILE,T0570,0.0,0.0,9.6
JFSFILE,T0571,0.0,0.0,9.6
JFSFILE,T0572,0.0,0.0,9.6
JFSFILE,T0573,0.0,0.0,9.6
JFSFILE,T0574,0.0,0.0,9.6
JFSFILE,T0575,0.0,0.0,9.6
JFSFILE,T0576,0.0,0.0,9.6
JFSFILE,T0577,0.0,0.0,9.6
JFSFILE,T0578,0.0,0.0,9.6
JFSFILE,T0579,0.0,0.0,9.6
JFSFILE,T0580,0.0,0.0,9.6
JFSFILE,T0581,0.0,0.0,9.6
JFSFILE,T0582,0.0,0.0,9.6
JFSFILE,T0583,0.0,0.0,9.6
JFSFILE,T0584,0.0,0.0,9.6
JFSFILE,T0585,0.0,0.0,9.6
JFSFILE,T0586,0.0,0.0,9.6
JFSFILE,T0587,0.0,0.0,9.6
JFSFILE,T0588,0.0,0.0,9.6
JFSFILE,T0589,0.0,0.0,9.6
JFSFILE,T0590,0.0,0.0,9.6
JFSFILE,T0591,0.0,0.0,9.6
JFSFILE,T0592,0.0,0.0,9.6
JFSFILE,T0593,0.0,0.0,9.6
JFSFILE,T0594,0.0,0.0,9.6
JFSFILE,T0595,0.0,0.0,9.6
JFSFILE,T0596,0.0,0.0,9.6
JFSFILE,T0597,0.0,0.0,9.6
JFSFILE,T0598,0.0,0.0,9.6
JFSFILE,T0599,0.0,0.0,9.6
JFSFILE,T0600,0.0,0.0,9.6
