PROC,Processes VM-12-13-centos,Runnable,Blocked,pswitch,syscall,read,write,fork,exec,sem,msg
PROC,T0062,1,0,1307.7,-1.0,-1.0,-1.0,6.6,-1.0,-1.0,-1.0
PROC,T0063,1,0,1135.2,-1.0,-1.0,-1.0,2.0,-1.0,-1.0,-1.0
PROC,T0064,1,0,1267.1,-1.0,-1.0,-1.0,6.4,-1.0,-1.0,-1.0
PROC,T0065,1,0,1102.9,-1.0,-1.0,-1.0,1.8,-1.0,-1.0,-1.0
PROC,T0066,1,0,1322.1,-1.0,-1.0,-1.0,8.6,-1.0,-1.0,-1.0
PROC,T0067,1,0,1041.3,-1.0,-1.0,-1.0,1.8,-1.0,-1.0,-1.0
PROC,T0068,1,0,1331.1,-1.0,-1.0,-1.0,7.4,-1.0,-1.0,-1.0
PROC,T0069,1,0,1185.1,-1.0,-1.0,-1.0,2.6,-1.0,-1.0,-1.0
PROC,T0070,1,0,1278.7,-1.0,-1.0,-1.0,6.4,-1.0,-1.0,-1.0
PROC,T0071,1,0,1096.2,-1.0,-1.0,-1.0,4.2,-1.0,-1.0,-1.0
PROC,T0072,1,0,1242.5,-1.0,-1.0,-1.0,6.4,-1.0,-1.0,-1.0
PROC,T0073,1,0,1118.9,-1.0,-1.0,-1.0,2.2,-1.0,-1.0,-1.0
PROC,T0074,1,0,1270.9,-1.0,-1.0,-1.0,6.8,-1.0,-1.0,-1.0
PROC,T0075,1,0,1106.7,-1.0,-1.0,-1.0,2.0,-1.0,-1.0,-1.0
PROC,T0076,1,0,1262.1,-1.0,-1.0,-1.0,6.4,-1.0,-1.0,-1.0
PROC,T0077,1,0,1127.2,-1.0,-1.0,-1.0,1.8,-1.0,-1.0,-1.0
PROC,T0078,1,0,1281.9,-1.0,-1.0,-1.0,8.6,-1.0,-1.0,-1.0
PROC,T0079,1,0,1091.0,-1.0,-1.0,-1.0,1.8,-1.0,-1.0,-1.0
PROC,T0080,2,0,1315.3,-1.0,-1.0,-1.0,7.2,-1.0,-1.0,-1.0
PROC,T0081,1,0,1136.3,-1.0,-1.0,-1.0,2.6,-1.0,-1.0,-1.0
PROC,T0082,1,0,1249.6,-1.0,-1.0,-1.0,6.4,-1.0,-1.0,-1.0
PROC,T0083,1,0,1092.3,-1.0,-1.0,-1.0,4.2,-1.0,-1.0,-1.0
PROC,T0084,1,0,1297.4,-1.0,-1.0,-1.0,6.4,-1.0,-1.0,-1.0
PROC,T0085,1,0,1108.5,-1.0,-1.0,-1.0,1.8,-1.0,-1.0,-1.0
PROC,T0086,1,0,1243.1,-1.0,-1.0,-1.0,6.4,-1.0,-1.0,-1.0
PROC,T0087,1,0,1198.6,-1.0,-1.0,-1.0,2.4,-1.0,-1.0,-1.0
PROC,T0088,1,0,1517.5,-1.0,-1.0,-1.0,6.4,-1.0,-1.0,-1.0
PROC,T0089,1,0,1284.1,-1.0,-1.0,-1.0,1.8,-1.0,-1.0,-1.0
PROC,T0090,1,0,1502.8,-1.0,-1.0,-1.0,11.4,-1.0,-1.0,-1.0
PROC,T0091,1,0,1100.2,-1.0,-1.0,-1.0,1.8,-1.0,-1.0,-1.0
PROC,T0092,1,0,1374.1,-1.0,-1.0,-1.0,7.2,-1.0,-1.0,-1.0
PROC,T0093,1,0,1190.4,-1.0,-1.0,-1.0,2.6,-1.0,-1.0,-1.0
PROC,T0094,1,0,1262.9,-1.0,-1.0,-1.0,6.6,-1.0,-1.0,-1.0
PROC,T0095,1,0,1184.1,-1.0,-1.0,-1.0,4.6,-1.0,-1.0,-1.0
PROC,T0096,1,0,1263.7,-1.0,-1.0,-1.0,6.4,-1.0,-1.0,-1.0
PROC,T0097,1,0,1067.3,-1.0,-1.0,-1.0,1.8,-1.0,-1.0,-1.0
PROC,T0098,1,0,1301.7,-1.0,-1.0,-1.0,6.4,-1.0,-1.0,-1.0
PROC,T0099,1,0,1130.2,-1.0,-1.0,-1.0,2.0,-1.0,-1.0,-1.0
PROC,T0100,1,0,1370.8,-1.0,-1.0,-1.0,8.8,-1.0,-1.0,-1.0
PROC,T0101,1,0,1090.9,-1.0,-1.0,-1.0,1.8,-1.0,-1.0,-1.0
PROC,T0102,1,0,1349.2,-1.0,-1.0,-1.0,8.6,-1.0,-1.0,-1.0
PROC,T0103,1,0,1087.1,-1.0,-1.0,-1.0,1.8,-1.0,-1.0,-1.0
PROC,T0104,1,0,1350.2,-1.0,-1.0,-1.0,7.2,-1.0,-1.0,-1.0
PROC,T0105,1,0,1197.5,-1.0,-1.0,-1.0,2.6,-1.0,-1.0,-1.0
PROC,T0106,1,0,1288.5,-1.0,-1.0,-1.0,6.4,-1.0,-1.0,-1.0
PROC,T0107,1,0,1089.3,-1.0,-1.0,-1.0,4.2,-1.0,-1.0,-1.0
PROC,T0108,1,0,1307.0,-1.0,-1.0,-1.0,6.4,-1.0,-1.0,-1.0
PROC,T0109,1,0,1164.8,-1.0,-1.0,-1.0,1.8,-1.0,-1.0,-1.0
PROC,T0110,1,0,1363.6,-1.0,-1.0,-1.0,6.4,-1.0,-1.0,-1.0
PROC,T0111,1,0,1138.8,-1.0,-1.0,-1.0,2.0,-1.0,-1.0,-1.0
PROC,T0112,1,0,1243.6,-1.0,-1.0,-1.0,6.4,-1.0,-1.0,-1.0
PROC,T0113,1,0,1055.9,-1.0,-1.0,-1.0,1.8,-1.0,-1.0,-1.0
PROC,T0114,1,0,1330.8,-1.0,-1.0,-1.0,8.6,-1.0,-1.0,-1.0
PROC,T0115,1,0,1102.3,-1.0,-1.0,-1.0,1.8,-1.0,-1.0,-1.0
PROC,T0116,1,0,1428.6,-1.0,-1.0,-1.0,7.2,-1.0,-1.0,-1.0
PROC,T0117,1,0,1206.3,-1.0,-1.0,-1.0,2.6,-1.0,-1.0,-1.0
PROC,T0118,1,0,1303.8,-1.0,-1.0,-1.0,6.4,-1.0,-1.0,-1.0
PROC,T0119,2,0,1125.9,-1.0,-1.0,-1.0,4.2,-1.0,-1.0,-1.0
PROC,T0120,1,0,1261.3,-1.0,-1.0,-1.0,6.4,-1.0,-1.0,-1.0
PROC,T0121,1,0,1108.2,-1.0,-1.0,-1.0,2.4,-1.0,-1.0,-1.0
PROC,T0122,1,0,1300.3,-1.0,-1.0,-1.0,6.6,-1.0,-1.0,-1.0
PROC,T0123,1,0,1127.3,-1.0,-1.0,-1.0,2.0,-1.0,-1.0,-1.0
PROC,T0124,1,0,1262.0,-1.0,-1.0,-1.0,6.4,-1.0,-1.0,-1.0
PROC,T0125,1,0,1156.0,-1.0,-1.0,-1.0,1.8,-1.0,-1.0,-1.0
PROC,T0126,1,0,1355.0,-1.0,-1.0,-1.0,8.6,-1.0,-1.0,-1.0
PROC,T0127,1,0,1289.1,-1.0,-1.0,-1.0,1.8,-1.0,-1.0,-1.0
PROC,T0128,1,0,1359.2,-1.0,-1.0,-1.0,7.4,-1.0,-1.0,-1.0
PROC,T0129,1,0,1156.9,-1.0,-1.0,-1.0,2.6,-1.0,-1.0,-1.0
PROC,T0130,2,0,1275.7,-1.0,-1.0,-1.0,6.8,-1.0,-1.0,-1.0
PROC,T0131,1,0,1093.4,-1.0,-1.0,-1.0,4.2,-1.0,-1.0,-1.0
PROC,T0132,1,0,1268.7,-1.0,-1.0,-1.0,6.6,-1.0,-1.0,-1.0
PROC,T0133,1,0,1065.3,-1.0,-1.0,-1.0,1.8,-1.0,-1.0,-1.0
PROC,T0134,1,0,1242.4,-1.0,-1.0,-1.0,6.4,-1.0,-1.0,-1.0
PROC,T0135,1,0,1097.5,-1.0,-1.0,-1.0,2.0,-1.0,-1.0,-1.0
PROC,T0136,1,0,1292.1,-1.0,-1.0,-1.0,6.4,-1.0,-1.0,-1.0
PROC,T0137,1,0,1085.9,-1.0,-1.0,-1.0,1.8,-1.0,-1.0,-1.0
PROC,T0138,1,0,1319.6,-1.0,-1.0,-1.0,8.6,-1.0,-1.0,-1.0
PROC,T0139,1,0,1134.6,-1.0,-1.0,-1.0,2.4,-1.0,-1.0,-1.0
PROC,T0140,1,0,1350.4,-1.0,-1.0,-1.0,7.2,-1.0,-1.0,-1.0
PROC,T0141,1,0,1138.3,-1.0,-1.0,-1.0,2.6,-1.0,-1.0,-1.0
PROC,T0142,1,0,1226.5,-1.0,-1.0,-1.0,6.4,-1.0,-1.0,-1.0
PROC,T0143,1,0,1104.1,-1.0,-1.0,-1.0,4.2,-1.0,-1.0,-1.0
PROC,T0144,1,0,1237.1,-1.0,-1.0,-1.0,6.4,-1.0,-1.0,-1.0
PROC,T0145,1,0,1074.5,-1.0,-1.0,-1.0,1.8,-1.0,-1.0,-1.0
PROC,T0146,1,0,1250.1,-1.0,-1.0,-1.0,6.4,-1.0,-1.0,-1.0
PROC,T0147,1,0,1072.4,-1.0,-1.0,-1.0,2.0,-1.0,-1.0,-1.0
PROC,T0148,1,0,1298.0,-1.0,-1.0,-1.0,6.4,-1.0,-1.0,-1.0
PROC,T0149,1,0,1074.5,-1.0,-1.0,-1.0,1.8,-1.0,-1.0,-1.0
PROC,T0150,1,0,1623.5,-1.0,-1.0,-1.0,13.4,-1.0,-1.0,-1.0
PROC,T0151,1,0,1309.2,-1.0,-1.0,-1.0,1.8,-1.0,-1.0,-1.0
PROC,T0152,1,0,1536.5,-1.0,-1.0,-1.0,7.2,-1.0,-1.0,-1.0
PROC,T0153,1,0,1263.4,-1.0,-1.0,-1.0,2.6,-1.0,-1.0,-1.0
PROC,T0154,1,0,1285.5,-1.0,-1.0,-1.0,6.4,-1.0,-1.0,-1.0
PROC,T0155,1,0,1125.5,-1.0,-1.0,-1.0,4.2,-1.0,-1.0,-1.0
PROC,T0156,1,0,1305.5,-1.0,-1.0,-1.0,6.4,-1.0,-1.0,-1.0
PROC,T0157,1,0,1209.8,-1.0,-1.0,-1.0,1.8,-1.0,-1.0,-1.0
PROC,T0158,1,0,1323.6,-1.0,-1.0,-1.0,6.4,-1.0,-1.0,-1.0
PROC,T0159,1,0,1105.9,-1.0,-1.0,-1.0,2.0,-1.0,-1.0,-1.0
PROC,T0160,1,0,1269.0,-1.0,-1.0,-1.0,6.4,-1.0,-1.0,-1.0
PROC,T0161,1,0,1093.5,-1.0,-1.0,-1.0,1.8,-1.0,-1.0,-1.0
PROC,T0162,1,0,1355.5,-1.0,-1.0,-1.0,11.0,-1.0,-1.0,-1.0
PROC,T0163,1,0,1100.8,-1.0,-1.0,-1.0,1.8,-1.0,-1.0,-1.0
PROC,T0164,1,0,1312.1,-1.0,-1.0,-1.0,7.2,-1.0,-1.0,-1.0
PROC,T0165,1,0,1207.5,-1.0,-1.0,-1.0,2.6,-1.0,-1.0,-1.0
PROC,T0166,2,0,1306.3,-1.0,-1.0,-1.0,6.8,-1.0,-1.0,-1.0
PROC,T0167,1,0,1092.7,-1.0,-1.0,-1.0,4.2,-1.0,-1.0,-1.0
PROC,T0168,1,0,1304.3,-1.0,-1.0,-1.0,6.4,-1.0,-1.0,-1.0
PROC,T0169,1,0,1077.1,-1.0,-1.0,-1.0,1.8,-1.0,-1.0,-1.0
PROC,T0170,1,0,1296.4,-1.0,-1.0,-1.0,6.4,-1.0,-1.0,-1.0
PROC,T0171,1,0,1129.2,-1.0,-1.0,-1.0,2.0,-1.0,-1.0,-1.0
PROC,T0172,1,0,1332.0,-1.0,-1.0,-1.0,6.4,-1.0,-1.0,-1.0
PROC,T0173,1,0,1052.0,-1.0,-1.0,-1.0,1.8,-1.0,-1.0,-1.0
PROC,T0174,1,0,1375.8,-1.0,-1.0,-1.0,8.6,-1.0,-1.0,-1.0
PROC,T0175,1,0,1325.0,-1.0,-1.0,-1.0,1.8,-1.0,-1.0,-1.0
PROC,T0176,1,0,1322.8,-1.0,-1.0,-1.0,7.2,-1.0,-1.0,-1.0
PROC,T0177,1,0,1122.7,-1.0,-1.0,-1.0,2.6,-1.0,-1.0,-1.0
PROC,T0178,1,0,1298.4,-1.0,-1.0,-1.0,6.4,-1.0,-1.0,-1.0
PROC,T0179,2,0,1109.7,-1.0,-1.0,-1.0,4.6,-1.0,-1.0,-1.0
PROC,T0180,2,0,1276.9,-1.0,-1.0,-1.0,6.0,-1.0,-1.0,-1.0
PROC,T0181,1,0,1103.3,-1.0,-1.0,-1.0,2.8,-1.0,-1.0,-1.0
PROC,T0182,1,0,1393.7,-1.0,-1.0,-1.0,5.6,-1.0,-1.0,-1.0
PROC,T0183,1,0,1177.2,-1.0,-1.0,-1.0,3.0,-1.0,-1.0,-1.0
PROC,T0184,1,0,1271.7,-1.0,-1.0,-1.0,5.4,-1.0,-1.0,-1.0
PROC,T0185,1,0,1107.5,-1.0,-1.0,-1.0,2.8,-1.0,-1.0,-1.0
PROC,T0186,1,0,1514.2,-1.0,-1.0,-1.0,18.0,-1.0,-1.0,-1.0
PROC,T0187,1,0,1124.3,-1.0,-1.0,-1.0,2.8,-1.0,-1.0,-1.0
PROC,T0188,1,0,2144.1,-1.0,-1.0,-1.0,6.6,-1.0,-1.0,-1.0
PROC,T0189,1,0,1233.5,-1.0,-1.0,-1.0,3.6,-1.0,-1.0,-1.0
PROC,T0190,1,0,1298.0,-1.0,-1.0,-1.0,5.6,-1.0,-1.0,-1.0
