DISKXFER,Disk transfers per second VM-12-13-centos,vda,vda1,sr0
DISKXFER,T0687,2.2,2.2,0.0
DISKXFER,T0688,8.6,8.6,0.0
DISKXFER,T0689,1.8,1.8,0.0
DISKXFER,T0690,9.0,9.0,0.0
DISKXFER,T0691,8.8,8.8,0.0
DISKXFER,T0692,8.2,8.2,0.0
DISKXFER,T0693,3.2,3.2,0.0
DISKXFER,T0694,8.4,8.4,0.0
DISKXFER,T0695,2.2,2.2,0.0
DISKXFER,T0696,27.6,27.6,0.0
DISKXFER,T0697,0.4,0.4,0.0
DISKXFER,T0698,15.2,15.2,0.0
DISKXFER,T0699,0.6,0.6,0.0
DISKXFER,T0700,10.4,10.4,0.0
DISKXFER,T0701,1.0,1.0,0.0
DISKXFER,T0702,11.4,11.4,0.0
DISKXFER,T0703,0.4,0.4,0.0
DISKXFER,T0704,9.8,9.8,0.0
DISKXFER,T0705,5.6,5.6,0.0
DISKXFER,T0706,10.2,10.2,0.0
DISKXFER,T0707,0.6,0.6,0.0
DISKXFER,T0708,24.2,24.2,0.0
DISKXFER,T0709,2.6,2.6,0.0
DISKXFER,T0710,8.4,8.4,0.0
DISKXFER,T0711,1.8,1.8,0.0
DISKXFER,T0712,13.6,13.6,0.0
DISKXFER,T0713,2.6,2.6,0.0
DISKXFER,T0714,8.8,8.8,0.0
DISKXFER,T0715,2.8,2.8,0.0
DISKXFER,T0716,8.2,8.2,0.0
DISKXFER,T0717,2.2,2.2,0.0
DISKXFER,T0718,8.0,8.0,0.0
DISKXFER,T0719,5.0,5.0,0.0
DISKXFER,T0720,21.6,21.6,0.0
DISKXFER,T0721,0.6,0.6,0.0
DISKXFER,T0722,10.2,10.2,0.0
DISKXFER,T0723,0.6,0.6,0.0
DISKXFER,T0724,10.0,10.0,0.0
DISKXFER,T0725,0.4,0.4,0.0
DISKXFER,T0726,15.2,15.2,0.0
DISKXFER,T0727,0.6,0.6,0.0
DISKXFER,T0728,10.2,10.2,0.0
DISKXFER,T0729,0.8,0.8,0.0
DISKXFER,T0730,10.0,10.0,0.0
DISKXFER,T0731,1.8,1.8,0.0
DISKXFER,T0732,19.4,19.4,0.0
DISKXFER,T0733,5.4,5.4,0.0
DISKXFER,T0734,8.8,8.8,0.0
DISKXFER,T0735,2.4,2.4,0.0
DISKXFER,T0736,8.6,8.6,0.0
DISKXFER,T0737,2.2,2.2,0.0
DISKXFER,T0738,10.0,9.8,0.0
DISKXFER,T0739,0.4,0.4,0.0
DISKXFER,T0740,13.8,13.8,0.0
DISKXFER,T0741,0.8,0.8,0.0
DISKXFER,T0742,10.0,10.0,0.0
DISKXFER,T0743,0.8,0.8,0.0
DISKXFER,T0744,21.8,21.8,0.0
DISKXFER,T0745,0.4,0.4,0.0
DISKXFER,T0746,9.8,9.8,0.0
DISKXFER,T0747,5.0,5.0,0.0
DISKXFER,T0748,10.2,10.2,0.0
DISKXFER,T0749,0.8,0.8,0.0
DISKXFER,T0750,9.4,9.4,0.0
DISKXFER,T0751,1.8,1.8,0.0
DISKXFER,T0752,8.4,8.4,0.0
DISKXFER,T0753,1.8,1.8,0.0
DISKXFER,T0754,13.6,13.6,0.0
DISKXFER,T0755,2.2,2.2,0.0
DISKXFER,T0756,27.0,27.0,0.0
DISKXFER,T0757,2.8,2.8,0.0
DISKXFER,T0758,8.2,8.2,0.0
DISKXFER,T0759,2.4,2.4,0.0
DISKXFER,T0760,8.0,8.0,0.0
DISKXFER,T0761,5.8,5.8,0.0
DISKXFER,T0762,11.4,11.4,0.0
DISKXFER,T0763,0.6,0.6,0.0
DISKXFER,T0764,10.2,10.2,0.0
DISKXFER,T0765,0.6,0.6,0.0
DISKXFER,T0766,10.0,10.0,0.0
DISKXFER,T0767,13.6,13.6,0.0
DISKXFER,T0768,16.8,16.8,0.0
DISKXFER,T0769,0.8,0.8,0.0
DISKXFER,T0770,10.2,10.2,0.0
DISKXFER,T0771,0.6,0.6,0.0
DISKXFER,T0772,8.0,8.0,0.0
DISKXFER,T0773,1.8,1.8,0.0
DISKXFER,T0774,9.0,9.0,0.0
DISKXFER,T0775,7.6,7.6,0.0
DISKXFER,T0776,8.8,8.8,0.0
DISKXFER,T0777,19.4,19.4,0.0
DISKXFER,T0778,9.0,9.0,0.0
DISKXFER,T0779,2.2,2.2,0.0
DISKXFER,T0780,8.8,8.8,0.0
DISKXFER,T0781,2.2,2.2,0.0
DISKXFER,T0782,12.8,12.8,0.0
DISKXFER,T0783,0.8,0.8,0.0
DISKXFER,T0784,10.0,10.0,0.0
DISKXFER,T0785,0.8,0.8,0.0
DISKXFER,T0786,11.2,11.2,0.0
DISKXFER,T0787,0.4,0.4,0.0
DISKXFER,T0788,9.8,9.8,0.0
DISKXFER,T0789,5.2,5.2,0.0
DISKXFER,T0790,10.2,10.2,0.0
DISKXFER,T0791,0.8,0.8,0.0
DISKXFER,T0792,20.4,20.4,0.0
DISKXFER,T0793,0.4,0.4,0.0
DISKXFER,T0794,9.8,9.8,0.0
DISKXFER,T0795,0.2,0.2,0.0
DISKXFER,T0796,12.0,12.0,0.0
DISKXFER,T0797,2.2,2.2,0.0
DISKXFER,T0798,10.6,10.4,0.0
DISKXFER,T0799,2.4,2.4,0.0
DISKXFER,T0800,8.8,8.8,0.0
DISKXFER,T0801,2.2,2.2,0.0
DISKXFER,T0802,8.2,8.2,0.0
DISKXFER,T0803,7.2,7.2,0.0
DISKXFER,T0804,19.2,19.2,0.0
DISKXFER,T0805,2.4,2.4,0.0
DISKXFER,T0806,8.2,8.2,0.0
DISKXFER,T0807,0.6,0.6,0.0
DISKXFER,T0808,9.8,9.8,0.0
DISKXFER,T0809,0.6,0.6,0.0
DISKXFER,T0810,16.4,16.4,0.0
DISKXFER,T0811,0.6,0.6,0.0
DISKXFER,T0812,10.4,10.4,0.0
DISKXFER,T0813,0.8,0.8,0.0
DISKXFER,T0814,10.0,10.0,0.0
DISKXFER,T0815,0.4,0.4,0.0
DISKXFER,T0816,27.0,27.0,0.0
DISKXFER,T0817,4.4,4.4,0.0
DISKXFER,T0818,10.4,10.4,0.0
DISKXFER,T0819,0.2,0.2,0.0
DISKXFER,T0820,8.8,8.8,0.0
DISKXFER,T0821,1.8,1.8,0.0
DISKXFER,T0822,9.0,9.0,0.0
DISKXFER,T0823,2.0,2.0,0.0
DISKXFER,T0824,12.8,12.8,0.0
DISKXFER,T0825,2.4,2.4,0.0
DISKXFER,T0826,8.2,8.2,0.0
DISKXFER,T0827,2.6,2.6,0.0
DISKXFER,T0828,19.4,19.4,0.0
DISKXFER,T0829,2.2,2.2,0.0
DISKXFER,T0830,8.2,8.2,0.0
DISKXFER,T0831,4.8,4.8,0.0
DISKXFER,T0832,10.2,10.2,0.0
DISKXFER,T0833,0.8,0.8,0.0
DISKXFER,T0834,11.0,11.0,0.0
DISKXFER,T0835,0.6,0.6,0.0
DISKXFER,T0836,9.8,9.8,0.0
DISKXFER,T0837,0.8,0.8,0.0
DISKXFER,T0838,15.4,15.4,0.0
DISKXFER,T0839,0.6,0.6,0.0
DISKXFER,T0840,21.4,21.4,0.0
DISKXFER,T0841,0.2,0.2,0.0
DISKXFER,T0842,8.4,8.4,0.0
DISKXFER,T0843,1.8,1.8,0.0
DISKXFER,T0844,8.6,8.6,0.0
DISKXFER,T0845,30.8,24.8,0.0
DISKXFER,T0846,9.2,9.2,0.0
DISKXFER,T0847,2.6,2.6,0.0
DISKXFER,T0848,8.4,8.4,0.0
DISKXFER,T0849,2.4,2.4,0.0
DISKXFER,T0850,8.0,8.0,0.0
DISKXFER,T0851,3.0,3.0,0.0
DISKXFER,T0852,26.2,26.2,0.0
DISKXFER,T0853,0.6,0.6,0.0
DISKXFER,T0854,10.4,10.4,0.0
DISKXFER,T0855,1.0,1.0,0.0
DISKXFER,T0856,10.2,10.2,0.0
DISKXFER,T0857,0.4,0.4,0.0
DISKXFER,T0858,12.8,12.6,0.0
DISKXFER,T0859,6.0,6.0,0.0
DISKXFER,T0860,10.0,10.0,0.0
DISKXFER,T0861,0.6,0.6,0.0
DISKXFER,T0862,10.0,10.0,0.0
DISKXFER,T0863,0.4,0.4,0.0
DISKXFER,T0864,16.6,16.6,0.0
DISKXFER,T0865,2.0,2.0,0.0
DISKXFER,T0866,12.4,12.4,0.0
DISKXFER,T0867,2.0,2.0,0.0
DISKXFER,T0868,8.6,8.6,0.0
DISKXFER,T0869,2.6,2.6,0.0
DISKXFER,T0870,8.8,8.8,0.0
DISKXFER,T0871,2.2,2.2,0.0
DISKXFER,T0872,8.2,8.2,0.0
DISKXFER,T0873,8.2,8.2,0.0
DISKXFER,T0874,8.4,8.4,0.0
DISKXFER,T0875,0.8,0.8,0.0
DISKXFER,T0876,32.0,32.0,0.0
DISKXFER,T0877,0.4,0.4,0.0
DISKXFER,T0878,9.8,9.8,0.0
DISKXFER,T0879,0.8,0.8,0.0
DISKXFER,T0880,14.8,14.8,0.0
DISKXFER,T0881,0.6,0.6,0.0
DISKXFER,T0882,10.6,10.6,0.0
DISKXFER,T0883,0.8,0.8,0.0
DISKXFER,T0884,9.8,9.8,0.0
DISKXFER,T0885,0.0,0.0,0.0
DISKXFER,T0886,8.6,8.6,0.0
DISKXFER,T0887,6.2,6.2,0.0
DISKXFER,T0888,25.8,25.8,0.0
DISKXFER,T0889,2.0,2.0,0.0
DISKXFER,T0890,8.8,8.8,0.0
DISKXFER,T0891,2.4,2.4,0.0
DISKXFER,T0892,8.0,8.0,0.0
DISKXFER,T0893,2.6,2.6,0.0
DISKXFER,T0894,14.2,14.2,0.0
DISKXFER,T0895,2.4,2.4,0.0
DISKXFER,T0896,8.4,8.4,0.0
DISKXFER,T0897,1.0,1.0,0.0
DISKXFER,T0898,10.0,10.0,0.0
DISKXFER,T0899,0.4,0.4,0.0
DISKXFER,T0900,21.0,21.0,0.0
DISKXFER,T0901,5.2,5.2,0.0
DISKXFER,T0902,10.4,10.4,0.0
DISKXFER,T0903,0.6,0.6,0.0
DISKXFER,T0904,10.2,10.2,0.0
DISKXFER,T0905,0.6,0.6,0.0
DISKXFER,T0906,10.6,10.6,0.0
DISKXFER,T0907,17.8,17.8,0.0
DISKXFER,T0908,8.0,8.0,0.0
DISKXFER,T0909,1.8,1.8,0.0
DISKXFER,T0910,8.4,8.4,0.0
DISKXFER,T0911,1.8,1.8,0.0
DISKXFER,T0912,8.4,8.4,0.0
DISKXFER,T0913,2.7,2.7,0.0
DISKXFER,T0914,12.4,12.4,0.0
DISKXFER,T0915,2.8,2.8,0.0
DISKXFER,T0916,8.0,8.0,0.0
DISKXFER,T0917,0.4,0.4,0.0
DISKXFER,T0918,11.8,11.6,0.0
DISKXFER,T0919,0.4,0.4,0.0
DISKXFER,T0920,9.8,9.8,0.0
DISKXFER,T0921,4.6,4.6,0.0
DISKXFER,T0922,10.2,10.2,0.0
DISKXFER,T0923,0.4,0.4,0.0
DISKXFER,T0924,10.2,10.2,0.0
DISKXFER,T0925,11.4,11.4,0.0
DISKXFER,T0926,9.8,9.8,0.0
DISKXFER,T0927,0.4,0.4,0.0
DISKXFER,T0928,13.0,13.0,0.0
DISKXFER,T0929,2.2,2.2,0.0
DISKXFER,T0930,9.2,9.2,0.0
DISKXFER,T0931,1.8,1.8,0.0
DISKXFER,T0932,8.4,8.4,0.0
DISKXFER,T0933,1.8,1.8,0.0
DISKXFER,T0934,8.4,8.4,0.0
DISKXFER,T0935,6.8,6.8,0.0
DISKXFER,T0936,9.0,9.0,0.0
DISKXFER,T0937,22.6,22.6,0.0
DISKXFER,T0938,8.0,8.0,0.0
DISKXFER,T0939,0.4,0.4,0.0
DISKXFER,T0940,9.8,9.8,0.0
DISKXFER,T0941,0.4,0.4,0.0
DISKXFER,T0942,16.0,16.0,0.0
DISKXFER,T0943,1.2,1.2,0.0
DISKXFER,T0944,9.8,9.8,0.0
DISKXFER,T0945,0.4,0.4,0.0
DISKXFER,T0946,10.2,10.2,0.0
DISKXFER,T0947,0.4,0.4,0.0
DISKXFER,T0948,10.2,10.2,0.0
DISKXFER,T0949,17.4,17.4,0.0
DISKXFER,T0950,8.6,8.6,0.0
DISKXFER,T0951,1.8,1.8,0.0
DISKXFER,T0952,8.6,8.6,0.0
DISKXFER,T0953,1.8,1.8,0.0
DISKXFER,T0954,9.0,9.0,0.0
DISKXFER,T0955,1.8,1.8,0.0
DISKXFER,T0956,13.4,13.4,0.0
DISKXFER,T0957,2.8,2.8,0.0
DISKXFER,T0958,8.0,8.0,0.0
DISKXFER,T0959,2.2,2.2,0.0
DISKXFER,T0960,8.6,8.6,0.0
DISKXFER,T0961,10.8,10.8,0.0
DISKXFER,T0962,9.8,9.8,0.0
DISKXFER,T0963,4.2,4.2,0.0
DISKXFER,T0964,10.2,10.2,0.0
DISKXFER,T0965,0.6,0.6,0.0
DISKXFER,T0966,15.2,15.2,0.0
DISKXFER,T0967,0.4,0.4,0.0
DISKXFER,T0968,9.8,9.8,0.0
DISKXFER,T0969,0.4,0.4,0.0
DISKXFER,T0970,9.8,9.8,0.0
DISKXFER,T0971,0.4,0.4,0.0
DISKXFER,T0972,21.0,21.0,0.0
DISKXFER,T0973,4.6,4.6,0.0
DISKXFER,T0974,9.0,9.0,0.0
DISKXFER,T0975,1.8,1.8,0.0
DISKXFER,T0976,11.8,11.8,0.0
DISKXFER,T0977,1.8,1.8,0.0
DISKXFER,T0978,19.6,19.4,0.0
DISKXFER,T0979,2.2,2.2,0.0
DISKXFER,T0980,8.0,8.0,0.0
DISKXFER,T0981,2.2,2.2,0.0
DISKXFER,T0982,11.8,11.8,0.0
DISKXFER,T0983,3.2,3.2,0.0
DISKXFER,T0984,10.0,10.0,0.0
DISKXFER,T0985,5.6,5.6,0.0
DISKXFER,T0986,9.8,9.8,0.0
DISKXFER,T0987,0.4,0.4,0.0
DISKXFER,T0988,9.8,9.8,0.0
DISKXFER,T0989,0.4,0.4,0.0
DISKXFER,T0990,11.0,11.0,0.0
DISKXFER,T0991,1.0,1.0,0.0
DISKXFER,T0992,16.8,16.8,0.0
DISKXFER,T0993,0.4,0.4,0.0
DISKXFER,T0994,9.8,9.8,0.0
DISKXFER,T0995,0.0,0.0,0.0
DISKXFER,T0996,26.6,26.6,0.0
DISKXFER,T0997,1.8,1.8,0.0
DISKXFER,T0998,25.0,21.0,0.0
DISKXFER,T0999,3.8,3.4,0.0
DISKXFER,T1000,8.8,8.8,0.0
