DISKXFER,Disk transfers per second VM-12-13-centos,vda,vda1,sr0
DISKXFER,T0262,9.8,9.8,0.0
DISKXFER,T0263,0.4,0.4,0.0
DISKXFER,T0264,10.2,10.2,0.0
DISKXFER,T0265,0.2,0.2,0.0
DISKXFER,T0266,12.4,12.4,0.0
DISKXFER,T0267,2.0,2.0,0.0
DISKXFER,T0268,8.8,8.8,0.0
DISKXFER,T0269,2.0,2.0,0.0
DISKXFER,T0270,9.0,9.0,0.0
DISKXFER,T0271,2.2,2.2,0.0
DISKXFER,T0272,8.2,8.2,0.0
DISKXFER,T0273,8.0,8.0,0.0
DISKXFER,T0274,8.0,8.0,0.0
DISKXFER,T0275,2.2,2.2,0.0
DISKXFER,T0276,24.2,24.2,0.0
DISKXFER,T0277,0.4,0.4,0.0
DISKXFER,T0278,9.8,9.8,0.0
DISKXFER,T0279,0.8,0.8,0.0
DISKXFER,T0280,14.8,14.8,0.0
DISKXFER,T0281,0.8,0.8,0.0
DISKXFER,T0282,10.2,10.2,0.0
DISKXFER,T0283,0.4,0.4,0.0
DISKXFER,T0284,9.8,9.8,0.0
DISKXFER,T0285,0.4,0.4,0.0
DISKXFER,T0286,10.2,10.2,0.0
DISKXFER,T0287,5.4,5.4,0.0
DISKXFER,T0288,20.0,20.0,0.0
DISKXFER,T0289,1.8,1.8,0.0
DISKXFER,T0290,8.4,8.4,0.0
DISKXFER,T0291,1.8,1.8,0.0
DISKXFER,T0292,8.4,8.4,0.0
DISKXFER,T0293,6.4,6.4,0.0
DISKXFER,T0294,20.6,20.6,0.0
DISKXFER,T0295,2.2,2.2,0.0
DISKXFER,T0296,8.0,8.0,0.0
DISKXFER,T0297,7.2,7.2,0.0
DISKXFER,T0298,8.0,8.0,0.0
DISKXFER,T0299,0.4,0.4,0.0
DISKXFER,T0300,14.6,14.6,0.0
DISKXFER,T0301,0.4,0.4,0.0
DISKXFER,T0302,9.8,9.8,0.0
DISKXFER,T0303,0.4,0.4,0.0
DISKXFER,T0304,9.8,9.8,0.0
DISKXFER,T0305,0.4,0.4,0.0
DISKXFER,T0306,14.8,14.8,0.0
