DISKWRITE,Disk Write KB/s VM-12-13-centos,vda,vda1,sr0
DISKWRITE,T0132,139.9,139.9,0.0
DISKWRITE,T0133,9.6,9.6,0.0
DISKWRITE,T0134,94.3,94.3,0.0
DISKWRITE,T0135,21.6,21.6,0.0
DISKWRITE,T0136,86.3,86.3,0.0
DISKWRITE,T0137,22.4,22.4,0.0
DISKWRITE,T0138,112.7,112.7,0.0
DISKWRITE,T0139,21.6,21.6,0.0
DISKWRITE,T0140,81.5,81.5,0.0
DISKWRITE,T0141,28.0,28.0,0.0
DISKWRITE,T0142,77.5,77.5,0.0
DISKWRITE,T0143,28.0,28.0,0.0
DISKWRITE,T0144,91.9,91.9,0.0
DISKWRITE,T0145,99.1,99.1,0.0
DISKWRITE,T0146,75.9,75.9,0.0
DISKWRITE,T0147,10.4,10.4,0.0
DISKWRITE,T0148,94.3,94.3,0.0
DISKWRITE,T0149,10.4,10.4,0.0
DISKWRITE,T0150,148.7,148.7,0.0
DISKWRITE,T0151,9.6,9.6,0.0
DISKWRITE,T0152,95.9,95.9,0.0
DISKWRITE,T0153,10.4,10.4,0.0
DISKWRITE,T0154,95.1,95.1,0.0
DISKWRITE,T0155,0.0,0.0,0.0
DISKWRITE,T0156,216.6,216.6,0.0
DISKWRITE,T0157,21.6,21.6,0.0
DISKWRITE,T0158,83.1,83.1,0.0
DISKWRITE,T0159,22.4,22.4,0.0
DISKWRITE,T0160,81.5,81.5,0.0
DISKWRITE,T0161,27.2,27.2,0.0
DISKWRITE,T0162,98.3,98.3,0.0
DISKWRITE,T0163,51.9,51.9,0.0
DISKWRITE,T0164,76.7,76.7,0.0
DISKWRITE,T0165,28.0,28.0,0.0
DISKWRITE,T0166,77.5,77.5,0.0
DISKWRITE,T0167,9.6,9.6,0.0
DISKWRITE,T0168,205.4,205.4,0.0
DISKWRITE,T0169,9.6,9.6,0.0
DISKWRITE,T0170,95.1,95.1,0.0
DISKWRITE,T0171,10.4,10.4,0.0
DISKWRITE,T0172,94.3,94.3,0.0
DISKWRITE,T0173,9.6,9.6,0.0
DISKWRITE,T0174,117.5,117.5,0.0
DISKWRITE,T0175,35.2,35.2,0.0
DISKWRITE,T0176,95.9,95.9,0.0
DISKWRITE,T0177,0.0,0.0,0.0
DISKWRITE,T0178,83.1,83.1,0.0
DISKWRITE,T0179,22.4,22.4,0.0
DISKWRITE,T0180,87.1,87.1,0.0
DISKWRITE,T0181,73.5,73.5,0.0
DISKWRITE,T0182,99.9,99.9,0.0
DISKWRITE,T0183,28.0,28.0,0.0
DISKWRITE,T0184,76.7,76.7,0.0
DISKWRITE,T0185,27.2,27.2,0.0
DISKWRITE,T0186,107.9,107.9,0.0
DISKWRITE,T0187,33.6,33.6,0.0
DISKWRITE,T0188,107.1,107.1,0.0
DISKWRITE,T0189,23.2,23.2,0.0
DISKWRITE,T0190,104.7,104.7,0.0
DISKWRITE,T0191,13.0,13.0,0.0
DISKWRITE,T0192,199.8,199.8,0.0
DISKWRITE,T0193,20.0,20.0,0.0
DISKWRITE,T0194,96.7,96.7,0.0
DISKWRITE,T0195,45.5,45.5,0.0
DISKWRITE,T0196,390.0,390.0,0.0
DISKWRITE,T0197,0.0,0.0,0.0
DISKWRITE,T0198,91.1,91.1,0.0
DISKWRITE,T0199,21.6,21.6,0.0
DISKWRITE,T0200,162.2,162.2,0.0
DISKWRITE,T0201,23.2,23.2,0.0
DISKWRITE,T0202,82.3,82.3,0.0
DISKWRITE,T0203,21.6,21.6,0.0
DISKWRITE,T0204,83.9,83.9,0.0
DISKWRITE,T0205,26.4,26.4,0.0
DISKWRITE,T0206,82.3,82.3,0.0
DISKWRITE,T0207,55.9,55.9,0.0
DISKWRITE,T0208,78.3,78.3,0.0
DISKWRITE,T0209,9.6,9.6,0.0
DISKWRITE,T0210,107.1,107.1,0.0
DISKWRITE,T0211,118.3,118.3,0.0
DISKWRITE,T0212,95.0,95.0,0.0
DISKWRITE,T0213,10.4,10.4,0.0
DISKWRITE,T0214,129.5,129.5,0.0
DISKWRITE,T0215,10.4,10.4,0.0
DISKWRITE,T0216,104.7,104.7,0.0
DISKWRITE,T0217,9.6,9.6,0.0
DISKWRITE,T0218,94.3,94.3,0.0
DISKWRITE,T0219,9.6,9.6,0.0
DISKWRITE,T0220,91.9,91.9,0.0
DISKWRITE,T0221,29.6,29.6,0.0
DISKWRITE,T0222,101.5,101.5,0.0
DISKWRITE,T0223,24.0,24.0,0.0
DISKWRITE,T0224,83.1,83.1,0.0
DISKWRITE,T0225,23.2,23.2,0.0
DISKWRITE,T0226,81.5,81.5,0.0
DISKWRITE,T0227,61.5,61.5,0.0
DISKWRITE,T0228,123.9,123.9,0.0
DISKWRITE,T0229,32.0,32.0,0.0
DISKWRITE,T0230,81.5,81.5,0.0
DISKWRITE,T0231,10.4,10.4,0.0
DISKWRITE,T0232,94.3,94.3,0.0
DISKWRITE,T0233,10.4,10.4,0.0
DISKWRITE,T0234,138.3,138.3,0.0
DISKWRITE,T0235,16.8,16.8,0.0
DISKWRITE,T0236,96.7,96.7,0.0
DISKWRITE,T0237,10.4,10.4,0.0
DISKWRITE,T0238,95.1,95.1,0.0
DISKWRITE,T0239,11.2,11.2,0.0
DISKWRITE,T0240,135.0,135.0,0.0
DISKWRITE,T0241,36.8,36.8,0.0
DISKWRITE,T0242,75.1,75.1,0.0
DISKWRITE,T0243,24.0,24.0,0.0
DISKWRITE,T0244,85.5,85.5,0.0
DISKWRITE,T0245,23.2,23.2,0.0
DISKWRITE,T0246,92.7,92.7,0.0
DISKWRITE,T0247,24.0,24.0,0.0
DISKWRITE,T0248,110.3,110.3,0.0
DISKWRITE,T0249,35.2,35.2,0.0
DISKWRITE,T0250,132.7,132.7,0.0
DISKWRITE,T0251,30.4,30.4,0.0
DISKWRITE,T0252,83.9,83.9,0.0
DISKWRITE,T0253,12.0,12.0,0.0
DISKWRITE,T0254,97.5,97.5,0.0
DISKWRITE,T0255,40.8,40.8,0.0
DISKWRITE,T0256,98.3,98.3,0.0
DISKWRITE,T0257,12.0,12.0,0.0
DISKWRITE,T0258,100.7,100.7,0.0
DISKWRITE,T0259,73.5,73.5,0.0
DISKWRITE,T0260,104.7,104.7,0.0
DISKWRITE,T0261,9.6,9.6,0.0
DISKWRITE,T0262,94.3,94.3,0.0
DISKWRITE,T0263,10.4,10.4,0.0
